1,广告系统AI工程师-CV/NLP/...,经验3-5年,本科及以上,C轮,字节跳动,"移动互联网,数据服务",上海,25k-50k,5545396,"六险一金,弹性工作,免费三餐,餐补",徐汇区,NLP,
2,自然语言处理工程师,经验3-5年,本科及以上,D轮及以上,小米,移动互联网,北京,30k-50k,5805139,"明星团队,大牛云集",海淀区,"NLP,搜索",岗位职责- 基于小米互联网生态，为搜索团队提供NLP相关技术支撑- 开展自然语言理解、知识图谱推荐、Query查询分析等研究开发工作- 阅读并跟踪最新研究成果，并应用于诸如新闻事件脉络跟踪、查询词推荐、搜索结果文本特征处理等工作岗位要求- 计算机相关专业硕士及以上学历，1年以上工作经验- 精通C++、Java至少一门编程语言，熟悉Python、Shell等脚本语言，熟练使用Linux开发环境- 掌握自然语言处理相关技术，深入理解机器学习算法，有深度学习经验者优先- 熟悉Hadoop、Spark等海量数据处理技术，有相关经验者优先- 较强的分析和解决问题能力，自我驱动能力强，良好的团队意识
3,自然语言处理，音视频分析 ...,经验不限,硕士及以上,D轮及以上,天脉,数据服务,北京,3k-5k,5321785,算法研究、智能识别,朝阳区,"机器学习,NLP,语音识别,算法","岗位职责：1. 对海量音视频数据进行分析处理，解决实际问题2. 与团队成员一起交付高可用产品3. 追踪相关的最新技术进展，提升平台技术能力【岗位要求】1. 计算机/数学/信息科学/工程 等专业在校本科生或研究生，保证每周有3天以上工作时间2. 热爱编程，并具有较好的编程能力；熟练掌握C,Python,golang等任何一门语言、熟练使用Linux、Git等常用工具。3. 熟悉自然语言处理，音视频分析及机器学习的基本算法，熟练掌握常用机器学习框架和算法库4. 对音视频，自然语言方面的研究有强烈的兴趣，爱折腾，动手能力强"
4,自然语言处理算法工程师,经验3-5年,本科及以上,C轮,最右,移动互联网,北京,40k-70k,4531882,"成长空间大,高薪高股,大牛云集,不打卡",海淀区,"游戏,社交,机器学习,NLP","职责:1.为推荐、搜索、UGC等互动产品等功能设计和实现高质量的基础特征（Category, Topic,  Entity等）;2.对用户以及用户的反馈（动作、评论）建模，快速定位问题与收集数据，设计解决方案，提升推荐产品体验。要求：  1.具备强悍的编码能力，有扎实的数据结构和算法功底   2.熟悉Linux开发环境，熟悉Python/Java/C++语言   3.熟悉自然语言处理常见算法与模型（语言模型、MaxEnt/CRF, pLSA/LDA, w2v, CNN/RNN等）   4.参与或主导过NLP项目（如中文分词、文本分类、文本聚类） 加分：具备良好的团队合作精神和沟通意识-有ACM等相关编程经验者优先；发表过高水平学术会议论文者优先，对使用NLP技术解决实际问题尤为感兴趣者优先 。公司简介小川科技 www.ixiaochuan.cn1我们做什么我们看好移动上的兴趣社交。通过发现兴趣和聚集同好，我们帮助年轻人畅快交流，发现自我。我们理解的兴趣社交是：因为有爱，我们不孤单。我们约会但不约炮，娱乐但不低俗，我们的愿景是：让你的兴趣不再孤单。 2我们是谁我们是连续创业者，我们失败过；我们也坚定的认为，我们将成功。移动将改变生活，移动是一场革命，我们对此坚信不移。我们是行动派，简单务实。不做游戏。不追概念。不尚空谈。我们是最右，2014年底成立。优秀创业团队，著名投资人。 3我们想建立什么样的公司我们致力于建立一家有想象力的公司。创新、主动和团队是我们的信条。在这里，你会创造一些东西。一些不能在其他地方创造的东西，一些让人们深深着迷的东西，一些可以让你自豪的介绍给家人和朋友的东西，一些让这个世界变更美好的东西。在这里，你可以找到这样的工作。你会为它全情投入、绝不妥协，你会为它追求细节、关注效果，它会让你心甘情愿牺牲休息时间，但完成后会给你带来极大的满足感和成就感。在这里，你会不断成长。你不再害怕犯错，因为你从成功中成长，也从失败中成长。你不断的发现自己，了解自己，你会发现你一步步变得强大，你会更热爱生活。这里没有官僚流程，没有打卡，没有KPI，没有不做事的管理者。这里没有员工。每一位同事都是我们的家人。你的快乐就是我们的快乐，你的困难就是我们的困难，我们期望和你一起努力、一起成长。我们期望，与你一起，建立一家属于你的公司。 4我们怎么工作我们是创业团队，我们找伙伴，不找员工。我们支持问题解决者。谁能解决问题，谁说了算。我们一竿子捅到底。写代码，还要测试，还要客服。我们努力跑得快一点，再快一点。我们自己和自己较劲。我们很自由。想说什么就说，疲倦了可以打游戏，不想上班就在家歇歇。我们相信，各人有各人的方式，成功不在于打卡，而在于投入。我们不做平庸的公司，也不要平庸的员工。我们是创业者，我们一直在路上。 5福利员工是伙伴。我们将为小伙伴们提供最好的福利待遇。我们努力培养你。你有多大能耐，就有多大空间。与同级别公司相比，最右将提供最好的工资，最多的股票。弹性工作制，中午2小时午休，免费三餐，每月有住房补贴。 6应聘指南我们只寻找创业者。请认真思考：我真的要创业吗？在加入之前，试用产品是值得的。质疑反映了你的独立思考，我们很珍惜。检查我们，考察我们，拷问我们：这是我在寻找的团队吗？"
5,后端开发工程师-NLP算法平台,经验不限,本科及以上,C轮,字节跳动,"移动互联网,数据服务",北京,20k-40k,5531802,六险一金 免费三餐 下午茶,海淀区,"C++,Golang,后端",职位描述：1、NLP算法平台的Web开发、任务流实现和调度开发；2、改进平台的易用性、提高吞吐量；提升平台使用效率；职位要求：1、掌握Web前/后端开发技术，熟练使用至少一种Web框架;2、精通Python、C++、Java、Golang中的至少一门语言;3、了解数据库原理，熟练使用一种关系型数据库，了解NoSql存储;4、有较强软件架构设计能力，有较强代码优化能力;5、较好的产品意识
6,上海-自然语言处理工程师,经验3-5年,本科及以上,上市公司,腾讯,"移动互联网 ,游戏",上海,30k-60k,5387614,大平台,徐汇区,"人工智能,NLP,算法,深度学习",岗位职责：    1、负责海量文本的语义聚类，分类，不断提升覆盖度和准确度；负责不同文本类别的情感分类，意见挖掘和舆情分析；创建领域画像。 2、紧跟前沿算法和技术，推动自然语言处理在实际应用领域的性能优化和落地。   岗位要求：    1、自然语言处理、模式识别、机器学习等相关专业硕士及以上。，3年以上相关工作经验； 2、有较强的算法基础和编码能力，熟练掌握C/C++，Python，Java等至少一门语言。熟悉Linux环境开发；熟练使用一种或几种深度学习框架（caffe，tensorflow， Pytorch）； 3、熟悉常用的自然语言算法，如word2vec、LDA、HMM、CRF等；熟悉深度学习在自然语言处理中的应用； 4、有文本分类、情感分析、舆情分析、智能客服等实际应用经验者优先； 5、有较强的研究能力者优先，如在领域顶级会议如ACL、EMNLP、NAACL等发表过高质量论文； 6、有良好的团队合作和沟通能力。
7,自然语言处理（初中级）,经验1-3年,本科及以上,D轮及以上,喜马拉雅,"移动互联网,文化娱乐",上海,15k-25k,5564393,年底多薪,浦东新区,"人工智能,NLP","【岗位职责】1、应用自然语言处理技术实现实体识别、意图识别、情感分析等相关工作；2、应用文本挖掘技术实现文本聚类分类，知识提取、知识图谱构建等研发工作；3、负责大规模文本数据处理，包括生文本预处理、过滤，语言模型生成，未登录词识别等。【任职要求】1、计算机相关专业，硕士及以上学历，1-3年以上相关的工作经验；2、熟悉自然语言处理、文本挖掘的关键技术，有中文NLP经验者优先；3、了解自然语言处理的基本算法与概念，如：分词，词性标注等；4、熟练使用以下编程语言中的至少一种：Java, C++， C， Scala；5、熟练使用以下脚本语言中的至少一种：Python, Perl, R等；6、良好的编程能力、算法设计能力，具备大规模语料数据处理经验者优先；7、有较强的分析问题解决问题能力， 良好的沟通能力和团队协作精神；8、熟悉中文分词标注、文本分类、语言模型、知识库挖掘、问答系统设计等NLP相关算法；9、有开源项目经验优先。"
8,NLP自然语言处理工程师,经验1-3年,本科及以上,A轮,布本智能,数据服务,北京,15k-30k,5712447,"待遇优厚,温馨团建,生日会,氛围活跃轻松",朝阳区,"人工智能,NLP,算法,深度学习",工作职责：1. 负责文本内容推荐业务中NLP算法的研发，提升现有业务效果；2. 负责实现人机对话、自动问答等方向算法开发；3. 负责内容包括但不局限于：信息提取、主题分类、语义理解、知识图谱等；任职条件：1. 计算机/软件/统计/数学等相关专业本科及其以上学历；2.三年以上NLP相关工作经验；3. 基础扎实，逻辑清晰，有较强的思考能力和解决问题的能力；4. 熟悉知识图谱、NLP/NLU、人机会话等相关算法及实现原理，有相关工作经验或者实验室经验优先；5. 良好的文字和语言沟通表达能力，有良好的团队合作精神；
9,NLP算法工程师,经验3-5年,本科及以上,天使轮,北京望石智慧科技有限公司,"医疗健康,人工智能",北京,25k-40k,5118960,"牛人多,国际视野,股票期权",海淀区,"人工智能,NLP,算法","工作内容：1.运用机器学习、数据挖掘、自然语言处理等相关算法，从海量文献、专利库等数据库文档中进行知识挖掘，构建知识图谱；2.负责知识图谱的实体抽取、实体链接、关系抽取、知识挖掘等具体的研发工作；3.运用信息检索、深度学习、语义理解及知识推理等相关技术，优化基于知识图谱的算法。 要求： 1. 985/211高校计算机相关专业；2.熟悉机器学习、自然语言基础算法和模型，有深度学习项目经验者优先；3.熟悉自然语言处理常见算法与模型（语言模型、Maximum entropy /CRF, pLSA/LDA, word2vector, CNN/RNN等）；4. 熟练使用C++/Java编程，熟悉Linux下脚本语言Shell、Awk、Python； 5.具备自我学习能力，对未知领域能快速掌握并实践应用；  6.积极主动，责任心强，充满激情，对AI和新药研发领域有浓厚的兴趣。 加分项1.有知识图谱项目开发经验的优先；2.熟悉化学分子表达式优先；3.有顶级比赛参赛经验，在NLP或机器学习领域发表过高质量论文及顶级会议论文者优先（满足其中一项即可），薪资可面谈。"
10,自然语言处理实习生,经验应届毕业生,硕士及以上,B轮,数据堂,"数据服务,分类信息",北京,2k-4k,5645620,"弹性工作,周末双休",海淀区,"人工智能,深度学习,算法",岗位职责：1.参与搭建自然语音处理基础能力平台研发，包括分词、实体识别、文本纠错等；2.针对语音自动转写文本，进行文本清洗、关键信息抽取、语义理解、倾向性分析等研发。3.参与海量文本数据处理、清洗、转换等处理工作；4.配合后端开发人工智能数据服务，提供稳定的、高可用性的智能Restful API服务;岗位要求:1.具备计算机、自动化、数学专业背景，在校硕士及以上学历，自然语言处理和机器学习专业优先.2.熟悉自然语言处理的开源框架，了解基于深度学习的自然语言处理建模。3.具备丰富的python编程经验，熟悉linux开发环境.4.在下列一项或多项研究领域内具有背景者优先：语音识别、信息检索、知识图谱的项目实践经验者优先。
